Year,Month,Petrol Price,Diesel Price,CNG Price,,,,,,,,,,,,
2017,5,66.93,96.52,60,,,,,,,,,,,,
2017,4,69.06,58.28,59,,,,,,,,,,,,
2017,3,71.27,60.49,61,,,,,,,,,,,,
2017,2,73.07,61.26,58,,,,,,,,,,,,
2017,1,72.91,62.15,57,,,,,,,,,,,,
2017,9,72.99,62.74,57,,,,,,,,,,,,
2017,8,74.62,62.76,58,,,,,,,,,,,,
2017,7,73.77,63.48,56,,,,,,,,,,,,
2018,6,72.99,64.06,52,,,,,,,,,,,,
2018,5,72.99,64.87,52,,,,,,,,,,,,
2018,4,72.99,67.19,52,,,,,,,,,,,,
2018,3,71.82,67.19,58,,,,,,,,,,,,
2018,2,75.43,67.19,56,,,,,,,,,,,,
2018,1,74.94,67.41,53,,,,,,,,,,,,
2018,12,73.67,67.59,57,,,,,,,,,,,,
2018,11,76.97,69.09,56,,,,,,,,,,,,
2018,10,75.14,69.12,56,,,,,,,,,,,,
2018,9,77.67,69.58,55,,,,,,,,,,,,
2018,8,74.21,70.08,59,,,,,,,,,,,,
2018,7,76.22,70.08,55,,,,,,,,,,,,
2019,6,78.38,70.66,54,,,,,,,,,,,,
2019,5,76.06,70.80,57,,,,,,,,,,,,
2019,4,76.13,70.81,59,,,,,,,,,,,,
2019,3,76.56,70.92,53,,,,,,,,,,,,
2019,2,74.88,71.02,58,,,,,,,,,,,,
2019,1,78.61,71.23,54,,,,,,,,,,,,
2019,12,76.42,71.32,58,,,,,,,,,,,,
2019,11,78.63,71.52,56,,,,,,,,,,,,
2019,10,75.11,71.68,59,,,,,,,,,,,,
2019,9,75.75,72.14,58,,,,,,,,,,,,
2019,8,77.99,72.16,56,,,,,,,,,,,,
2019,7,79.47,72.31,56,,,,,,,,,,,,
2020,6,78.59,72.56,54,,,,,,,,,,,,
2020,5,81.44,72.64,55,,,,,,,,,,,,
2020,4,81.96,73.10,57,,,,,,,,,,,,
2020,3,82.89,74.05,50,,,,,,,,,,,,
2020,2,82.89,75.44,50,,,,,,,,,,,,
2020,1,82.15,75.91,52,,,,,,,,,,,,
2020,12,84.34,76.08,49,,,,,,,,,,,,
2020,11,82.15,77.70,51,,,,,,,,,,,,
2020,10,82.65,78.12,58,,,,,,,,,,,,
2020,9,83.91,78.97,51,,,,,,,,,,,,
2020,8,85.72,78.98,48,,,,,,,,,,,,
2020,7,87.12,79.13,57,,,,,,,,,,,,
2021,6,88.33,79.65,48,,,,,,,,,,,,
2021,5,92.28,80.36,46,,,,,,,,,,,,
2021,4,92.44,82.42,47,,,,,,,,,,,,
2021,3,93.05,86.75,47,,,,,,,,,,,,
2021,2,96.47,86.90,46,,,,,,,,,,,,
2021,1,106.36,87.53,41,,,,,,,,,,,,
2021,12,106.36,91.74,42,,,,,,,,,,,,
2021,11,106.36,93.47,42,,,,,,,,,,,,
2021,10,106.36,93.47,42,,,,,,,,,,,,
2021,9,117.19,93.47,41,,,,,,,,,,,,
2021,8,113.27,93.47,41,,,,,,,,,,,,
2021,7,96.52,95.53,41,,,,,,,,,,,,
2022,6,103.56,95.74,44,,,,,,,,,,,,
2022,5,100.79,96.47,45,,,,,,,,,,,,
2022,4,103.82,96.52,45,,,,,,,,,,,,
2022,3,107.71,96.52,30,,,,,,,,,,,,
2022,2,107.71,96.52,35,,,,,,,,,,,,
2022,1,107.71,96.52,40,,,,,,,,,,,,
2022,12,107.71,96.52,40,,,,,,,,,,,,
2022,11,107.71,96.52,40,,,,,,,,,,,,
2022,10,107.71,96.52,40,,,,,,,,,,,,
2022,9,107.71,97.03,40,,,,,,,,,,,,
2022,8,107.71,100.16,40,,,,,,,,,,,,
2022,7,104.13,103.95,43,,,,,,,,,,,,
2023,5,112.07,105.85,43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
